name,website,domain,phone,country,city,state,industry,employee_count,founded_year,linkedin_url,facebook_url,twitter_url,description,quality_score
The Call Center Doctors,http://www.ccdocs.com,ccdocs.com,+1 877-223-6270,United States,Houston,Texas,marketing & advertising,870,2021,http://www.linkedin.com/company/the-call-center-doctors,https://www.facebook.com/p/The-Call-Center-Doctors-61554871696782/,,,100
The Telemarketing Company,http://www.ttmc.co.uk,ttmc.co.uk,+44 12 7376 5000,United Kingdom,,England,marketing & advertising,230,1990,http://www.linkedin.com/company/the-telemarketing-company,https://www.facebook.com/pages/category/Market-Research-Consultant/The-Telemarketing-Company-772705486206455/,https://twitter.com/ttmcuk,,100
The Call Center Group A-Z,http://www.thecallcentergroupa-z.com,thecallcentergroupa-z.com,+1 480-538-6001,United States,Phoenix,Arizona,staffing & recruiting,220,2006,http://www.linkedin.com/company/the-call-center-group-a-z,https://facebook.com/CallCenterGroupAZ,https://twitter.com/TheCCG_AZ,,100
Globe Call Center,http://www.globe-call.com,globe-call.com,(333) 305-5310,United States,Wilmington,Delaware,facilities services,28,,http://www.linkedin.com/company/globecallcentre,https://www.facebook.com/GlobeCallCentre/,https://twitter.com/GlobeCallCentre,,100
Telemarketing Services,http://www.affordabletelemarketingservices.com,affordabletelemarketingservices.com,+1 216-456-2314,United States,Tanana,Alaska,marketing & advertising,350,2009,http://www.linkedin.com/company/telemarketing-services,https://facebook.com/pages/Affordable-Telemarketing-Services/185143788183641,https://twitter.com/B2BMarketingATS,,100
Anomaly Squared,http://www.anomalysquared.com,anomalysquared.com,+1 336-790-9866,United States,Greensboro,North Carolina,facilities services,240,2011,http://www.linkedin.com/company/anomaly-squared,https://www.facebook.com/anomalysquared,https://www.twitter.com/anomaly_squared,,100
Call Center Power,http://www.callcenterpower.com,callcenterpower.com,+1 888-650-5880,United States,Leesburg,Virginia,management consulting,110,2015,http://www.linkedin.com/company/call-center-power,,,,100
Cosmos Call Center,http://www.cosmoscallcenter.com,cosmoscallcenter.com,+34 911 93 11 69,Spain,Madrid,Community of Madrid,marketing & advertising,81,2010,http://www.linkedin.com/company/cosmos-call-center,https://facebook.com/CosmosCallCenter,https://twitter.com/cosmoscall,,100
Aircall,http://www.aircall.io,aircall.io,+1 866-240-6923,United States,New York,New York,information technology & services,700,2014,http://www.linkedin.com/company/aircall,http://www.facebook.com/aircallapp,http://www.twitter.com/Aircall,,100
Venteon,http://www.venteon.com,venteon.com,+1 248-269-0000,United States,Troy,Michigan,staffing & recruiting,67,2002,http://www.linkedin.com/company/venteon,https://www.facebook.com/Venteon ,https://twitter.com/venteon,,100
Grupo Noa International,http://www.gruponoainternational.com,gruponoainternational.com,+1 818-200-1174,United States,Miami,Florida,telecommunications,200,2007,http://www.linkedin.com/company/grupo-noa-international,https://facebook.com/gruponoa,https://twitter.com/grupo_noa,,100
CloudTalk,http://www.cloudtalk.io,cloudtalk.io,+44 20 3868 0167,Canada,Toronto,Ontario,information technology & services,200,2016,http://www.linkedin.com/company/cloudtalk.io,https://www.facebook.com/CloudTalkCallCenter,https://twitter.com/phoonio,,100
Aspect Software,http://www.aspect.com,aspect.com,+1 978-250-7900,United States,Boulder,Colorado,information technology & services,970,1973,http://www.linkedin.com/company/aspect-software,https://www.facebook.com/aspectworkforce,https://twitter.com/aspectsoftware,,100
Arabic Call Center,http://www.arabiccallcenters.com,arabiccallcenters.com,+1 650-276-5399,United States,San Carlos,California,outsourcing/offshoring,31,,http://www.linkedin.com/company/arabic-call-center,,,,100
REI Lead Pros,http://www.reileadpros.com,reileadpros.com,,United States,Austin,Texas,facilities services,110,2018,http://www.linkedin.com/company/rei-call-center,https://www.facebook.com/REI-Call-Center-113228227807127,,,100
HYPR Service,http://www.hyprservice.com,hyprservice.com,+1 813-592-4251,United States,Tampa,Florida,information technology & services,73,2018,http://www.linkedin.com/company/hyprservice,https://www.facebook.com/hyprservices,,,100
Vervent,http://www.vervent.com,vervent.com,+1 888-486-2509,United States,San Diego,California,financial services,540,2008,http://www.linkedin.com/company/verventsd,https://www.facebook.com/Vervent/,https://twitter.com/verventSD,,100
TMS Call Center,http://www.tmscallcenters.com,tmscallcenters.com,+1 800-377-7995,United States,Roseburg,Oregon,outsourcing/offshoring,62,1990,http://www.linkedin.com/company/tms-call-center,,,,100
Calling Agency,http://www.callingagency.com,callingagency.com,+1 888-875-0799,United States,New Castle,Delaware,facilities services,15,2022,http://www.linkedin.com/company/calling-agency,https://www.facebook.com/CallingAgency,,,100
Ultimate Staffing,http://www.ultimatestaffing.com,ultimatestaffing.com,+1 866-667-1611,United States,Orange,California,staffing & recruiting,660,1994,http://www.linkedin.com/company/ultimate-staffing,https://facebook.com/UltimateStaffing,,,100
LaSalle Network,http://www.thelasallenetwork.com,thelasallenetwork.com,+1 312-419-1700,United States,Chicago,Illinois,staffing & recruiting,630,1998,http://www.linkedin.com/company/lasalle-network,https://www.facebook.com/LaSalleNetwork/,https://twitter.com/lasallenetwork,,100
Call Center Sales Pro,http://www.callcentersalespro.com,callcentersalespro.com,+1 800-901-7706,United States,Seymour,Tennessee,telecommunications,89,2014,http://www.linkedin.com/company/call-center-sales-pro,https://www.facebook.com/Callcentersalespro/events/,https://twitter.com/CallCCSP,,100
UpYourBizz,http://www.upyourbizz.fr,upyourbizz.fr,+33 2 52 36 06 06,France,Le Mans,Pays de la Loire,marketing & advertising,90,2013,http://www.linkedin.com/company/upyourbizz,,,,100
Telemarketing Professionals,http://www.telemarketingprofessionals.com.au,telemarketingprofessionals.com.au,+61 2 9982 2112,Australia,Frenchs Forest,New South Wales,facilities services,19,2010,http://www.linkedin.com/company/telemarketing-professionals,https://facebook.com/Telemarketing-Professionals-110353197981832/,,,100
Hiregy,http://www.hiregy.com,hiregy.com,+1 813-449-4800,United States,Tampa,Florida,staffing & recruiting,53,2004,http://www.linkedin.com/company/hiregy,https://www.facebook.com/Hiregy,https://twitter.com/hiregy,,100
The VA Hub US - Virtual Assistant Company,http://www.thevahub.com,thevahub.com,+1 888-923-9323,United States,Millbrae,California,outsourcing/offshoring,220,2016,http://www.linkedin.com/company/the-va-hub-us,https://www.facebook.com/thevahubUS/,,,100
Teamified,http://www.teamified.com.au,teamified.com.au,+61 1300 019 408,Australia,Melbourne,Victoria,outsourcing/offshoring,210,2021,http://www.linkedin.com/company/teamified1,,,,100
Team Telemarketing Ltd,http://www.teamtelemarketing.co.uk,teamtelemarketing.co.uk,+44 84 5570 0100,United Kingdom,Solihull,England,marketing & advertising,49,2000,http://www.linkedin.com/company/team-telemarketing,https://facebook.com/TeamTelemarketing,https://twitter.com/TeamTelemarket,,100
Ceequence Technologies Pvt Ltd,http://www.ceequence.com,ceequence.com,,United States,Princeton,New Jersey,outsourcing/offshoring,210,2002,http://www.linkedin.com/company/ceequence-technologies,https://en-gb.facebook.com/CeequenceTechnologies/,,,100
